ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,AGE_index,GENDER_index,RACE_index,VEHICLE_OWNERSHIP_index,CHILDREN_index,VEHICLE_TYPE_index,MARRIED_index,INCOME_index,VEHICLE_YEAR_index,POSTAL_CODE_index,prediction,AGE_OHE_array_string,GENDER_OHE_array_string,RACE_OHE_array_string,VEHICLE_OWNERSHIP_OHE_array_string,CHILDREN_OHE_array_string,VEHICLE_TYPE_OHE_array_string,MARRIED_OHE_array_string,INCOME_OHE_array_string,VEHICLE_YEAR_OHE_array_string,POSTAL_CODE_OHE_array_string,features_array_string,rawPrediction_array_string,probability_array_string
381,65+,female,majority,4,1,upper class,0.6520665505738693,yes,after 2015,no,yes,10238,15000.0,sedan,3,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"0.0,0.0,0.0",1.0,1.0,1.0,1.0,1.0,0.0,"1.0,0.0,0.0",0.0,"1.0,0.0,0.0","0.6520665505738693,15000.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0","17.886544377650818,2.113455622349182","0.8943272188825409,0.1056727811174591"
775,65+,female,majority,4,2,upper class,0.7117532279720963,yes,before 2015,yes,yes,10238,10000.0,sedan,2,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.7117532279720963,10000.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0","17.207828254979102,2.792171745020896","0.8603914127489553,0.1396085872510448"
864,16-25,female,majority,1,2,middle class,0.5542039032649119,no,after 2015,no,no,32765,11000.0,sedan,0,0,0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"0.0,0.0,1.0",1.0,1.0,0.0,0.0,1.0,0.0,"0.0,1.0,0.0",0.0,"0.0,1.0,0.0","0.5542039032649119,11000.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0","7.5718840405751555,12.428115959424845","0.37859420202875776,0.6214057979712423"
2375,26-39,male,majority,2,1,middle class,0.39684101951354817,no,before 2015,no,no,10238,13000.0,sedan,0,1,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"1.0,0.0,0.0",0.0,1.0,0.0,0.0,1.0,0.0,"0.0,1.0,0.0",1.0,"1.0,0.0,0.0","0.39684101951354817,13000.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0","12.507658142559086,7.4923418574409135","0.6253829071279543,0.3746170928720457"
2590,65+,female,majority,4,2,upper class,0.5537983802002591,yes,after 2015,yes,yes,10238,11000.0,sedan,1,0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"0.0,0.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",0.0,"1.0,0.0,0.0","0.5537983802002591,11000.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0","18.443771105067167,1.556228894932832","0.9221885552533584,0.0778114447466416"
2654,16-25,male,majority,1,1,poverty,0.2266204187196561,no,before 2015,no,yes,10238,12000.0,sedan,0,0,0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,"0.0,0.0,1.0",0.0,1.0,0.0,1.0,1.0,0.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.2266204187196561,12000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","3.0258740999788762,16.974125900021125","0.15129370499894382,0.8487062950010562"
2698,40-64,male,majority,3,2,upper class,0.5227680248227625,yes,before 2015,no,yes,32765,7000.0,sedan,11,0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"0.0,1.0,0.0",0.0,1.0,1.0,1.0,1.0,0.0,"1.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.5227680248227625,7000.0,11.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0","17.759164913767684,2.2408350862323148","0.8879582456883842,0.11204175431161574"
2906,40-64,male,majority,2,2,upper class,0.6853981719804065,yes,before 2015,yes,yes,10238,8000.0,sedan,3,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0,1.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.6853981719804065,8000.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0","18.32615214515273,1.673847854847269","0.9163076072576365,0.08369239274236345"
3038,26-39,female,majority,2,1,working class,0.3752825494625618,yes,after 2015,no,no,21217,16000.0,sedan,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,"1.0,0.0,0.0",1.0,1.0,1.0,0.0,1.0,0.0,"0.0,0.0,0.0",0.0,"0.0,0.0,0.0","0.3752825494625618,16000.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","15.928108857082275,4.071891142917725","0.7964054428541137,0.20359455714588623"
3170,40-64,female,majority,2,0,working class,0.4916892938181081,yes,before 2015,no,yes,10238,12000.0,sedan,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,"0.0,1.0,0.0",1.0,1.0,1.0,1.0,1.0,0.0,"0.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.4916892938181081,12000.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0","16.423775036156933,3.5762249638430648","0.8211887518078468,0.17881124819215327"
